Theme,Genre,Novel,Curve_Type,Story_ID,Route_File,Num_Runs,Status,RE_Score,CH_Score,EM_Score,SU_Score,EG_Score,CX_Score,OV_Score,Run1_Explanation,Run2_Explanation,Run3_Explanation
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_1.txt,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,"The story is highly relevant to its theme of community resilience and sustainable urban development. It perfectly aligns with the genre of hopeful, character-driven narrative exploring social change and environmental responsibility. The focus on local knowledge, participatory decision-making, and honoring the past while building for the future is consistently present.","The story is highly relevant to its theme of community resilience and sustainable urban development. It perfectly aligns with the genre of hopeful, character-driven narrative exploring social change and environmental responsibility. The focus on local knowledge, participatory decision-making, and honoring the past while building for the future is consistently present.","The story is highly relevant to its theme of community resilience and sustainable urban development. It perfectly aligns with the genre of hopeful, character-driven narrative exploring social change and environmental responsibility. The focus on local knowledge, participatory decision-making, and honoring the past while building for the future is consistently present."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_2.txt,3,OK,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,"The story is highly relevant to its theme of community-led resilience and sustainable urban development. The genre leans towards speculative fiction/hopepunk, and the narrative consistently reinforces these elements through its focus on practical solutions, collaborative effort, and a hopeful vision for the future. The visual novel format lends itself well to showcasing the physical aspects of the solutions (rooftop farms, apprenticeship centers) and the human interactions involved.","The story is highly relevant to its theme of community-led resilience and sustainable urban development. The genre leans towards speculative fiction/hopepunk, and the narrative consistently reinforces these elements through its focus on practical solutions, collaborative effort, and a hopeful vision for the future. The visual novel format lends itself well to showcasing the physical aspects of the solutions (rooftop farms, apprenticeship centers) and the human interactions involved.","The story is highly relevant to its theme of community-led resilience and sustainable urban development. The genre leans towards speculative fiction/hopepunk, and the narrative consistently reinforces these elements through its focus on practical solutions, collaborative effort, and a hopeful vision for the future. The visual novel format lends itself well to showcasing the physical aspects of the solutions (rooftop farms, apprenticeship centers) and the human interactions involved."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_3.txt,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,"The story is highly relevant to its theme of climate resilience and adaptation, specifically focusing on coastal communities. The genre aligns well with a narrative-driven visual novel exploring complex social and environmental issues. The focus on balancing preservation of history and culture with necessary changes for survival is central and consistently explored.","The story is highly relevant to its theme of climate resilience and adaptation, specifically focusing on coastal communities. The genre aligns well with a narrative-driven visual novel exploring complex social and environmental issues. The focus on balancing preservation of history and culture with necessary changes for survival is central and consistently explored.","The story is highly relevant to its theme of climate resilience and adaptation, specifically focusing on coastal communities. The genre aligns well with a narrative-driven visual novel exploring complex social and environmental issues. The focus on balancing preservation of history and culture with necessary changes for survival is central and consistently explored."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_4.txt,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,"The story is exceptionally relevant to its theme of community resilience, environmental stewardship, and the importance of listening to local knowledge. It perfectly aligns with the genre of a narrative-driven visual novel focused on social impact and nuanced character development. The core conflict revolves around balancing rapid technological solutions with sustainable, community-led approaches, a very fitting theme.","The story is exceptionally relevant to its theme of community resilience, environmental stewardship, and the importance of listening to local knowledge. It perfectly aligns with the genre of a narrative-driven visual novel focused on social impact and nuanced character development. The core conflict revolves around balancing rapid technological solutions with sustainable, community-led approaches, a very fitting theme.","The story is exceptionally relevant to its theme of community resilience, environmental stewardship, and the importance of listening to local knowledge. It perfectly aligns with the genre of a narrative-driven visual novel focused on social impact and nuanced character development. The core conflict revolves around balancing rapid technological solutions with sustainable, community-led approaches, a very fitting theme."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_5.txt,3,OK,5.0,5.0,5.0,4.0,5.0,4.0,4.6667,"The story is exceptionally relevant to its theme of community resilience, social care, and sustainable urban development. It blends these themes seamlessly with a gentle, hopeful tone, fitting the genre of a hopeful, character-driven visual novel focused on social impact.","The story is exceptionally relevant to its theme of community resilience, social care, and sustainable urban development. It blends these themes seamlessly with a gentle, hopeful tone, fitting the genre of a hopeful, character-driven visual novel focused on social impact.","The story is exceptionally relevant to its theme of community resilience, social care, and sustainable urban development. It blends these themes seamlessly with a gentle, hopeful tone, fitting the genre of a hopeful, character-driven visual novel focused on social impact."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_6.txt,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,"The story is exceptionally relevant to its themes of resilience, community, and adapting to climate change. The genre leans towards speculative fiction/dystopian with a strong emphasis on social commentary, and the narrative consistently reinforces these elements. The focus on preserving culture and human dignity amidst a crisis is central and well-executed.","The story is exceptionally relevant to its themes of resilience, community, and adapting to climate change. The genre leans towards speculative fiction/dystopian with a strong emphasis on social commentary, and the narrative consistently reinforces these elements. The focus on preserving culture and human dignity amidst a crisis is central and well-executed.","The story is exceptionally relevant to its themes of resilience, community, and adapting to climate change. The genre leans towards speculative fiction/dystopian with a strong emphasis on social commentary, and the narrative consistently reinforces these elements. The focus on preserving culture and human dignity amidst a crisis is central and well-executed."
Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,Route_1.txt,3,OK,5.0,5.0,4.0,3.0,4.0,3.0,4.0,"The story is highly relevant to its theme of community preservation and its genre of urban fantasy/slice-of-life with a political element. The narrative consistently focuses on the struggle to protect a neighborhood from erasure through legal and practical means, aligning perfectly with the premise.","The story is highly relevant to its theme of community preservation and its genre of urban fantasy/slice-of-life with a political element. The narrative consistently focuses on the struggle to protect a neighborhood from erasure through legal and practical means, aligning perfectly with the premise.","The story is highly relevant to its theme of community preservation and its genre of urban fantasy/slice-of-life with a political element. The narrative consistently focuses on the struggle to protect a neighborhood from erasure through legal and practical means, aligning perfectly with the premise."
Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,Route_2.txt,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,"The story is exceptionally relevant to its theme of community resilience and adaptation in the face of climate change. The genre, a blend of slice-of-life and political/social drama, is perfectly executed. Every element, from the legal drafting to the community gatherings, reinforces the core theme of protecting people and place.","The story is exceptionally relevant to its theme of community resilience and adaptation in the face of climate change. The genre, a blend of slice-of-life and political/social drama, is perfectly executed. Every element, from the legal drafting to the community gatherings, reinforces the core theme of protecting people and place.","The story is exceptionally relevant to its theme of community resilience and adaptation in the face of climate change. The genre, a blend of slice-of-life and political/social drama, is perfectly executed. Every element, from the legal drafting to the community gatherings, reinforces the core theme of protecting people and place."
Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,Route_3.txt,3,OK,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,"The story is highly relevant to its theme of community preservation and urban development, fitting squarely within the genre of political/social drama with a touch of hopepunk. The narrative consistently focuses on the legal and procedural steps required to protect a community, and the genre conventions of showcasing bureaucratic processes and grassroots activism are well-executed.","The story is highly relevant to its theme of community preservation and urban development, fitting squarely within the genre of political/social drama with a touch of hopepunk. The narrative consistently focuses on the legal and procedural steps required to protect a community, and the genre conventions of showcasing bureaucratic processes and grassroots activism are well-executed.","The story is highly relevant to its theme of community preservation and urban development, fitting squarely within the genre of political/social drama with a touch of hopepunk. The narrative consistently focuses on the legal and procedural steps required to protect a community, and the genre conventions of showcasing bureaucratic processes and grassroots activism are well-executed."
Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,Route_4.txt,3,OK,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,"The story perfectly aligns with a post-apocalyptic/rebuilding theme and a slice-of-life/community focus. The narrative centers on rebuilding infrastructure, fostering community bonds, and adapting to a changed world, all hallmarks of the genre. The focus on practical skills and collaborative effort reinforces the theme.","The story perfectly aligns with a post-apocalyptic/rebuilding theme and a slice-of-life/community focus. The narrative centers on rebuilding infrastructure, fostering community bonds, and adapting to a changed world, all hallmarks of the genre. The focus on practical skills and collaborative effort reinforces the theme.","The story perfectly aligns with a post-apocalyptic/rebuilding theme and a slice-of-life/community focus. The narrative centers on rebuilding infrastructure, fostering community bonds, and adapting to a changed world, all hallmarks of the genre. The focus on practical skills and collaborative effort reinforces the theme."
