Judge_Model,Metric,Effect,RAF_NoCritic (N/Mean),RAF_Critic (N/Mean),AVL_NoCritic (N/Mean),AVL_Critic (N/Mean),Interaction_Delta,Interaction_Direction,Mean_Diff,CI95,Cohen_d,Test_Used,SW_p_A,SW_p_B,Statistic,p_raw,Conclusion
gemma3:12b-it-fp16,RE,Main Effect A (Curve: RAF vs AVL),54.0 / 5.0,54.0 / 4.9815,54.0 / 4.9815,54.0 / 5.0,-0.037,AVL benefits more from Critic,0.0,"[-0.0258, 0.0258]",0.0,Mann-Whitney U,0.0,0.0,5832.0,1.0000 nan,A = B (nan)
gemma3:12b-it-fp16,RE,Main Effect B (Critic: No vs With),54.0 / 5.0,54.0 / 4.9815,54.0 / 4.9815,54.0 / 5.0,-0.037,AVL benefits more from Critic,0.0,"[-0.0258, 0.0258]",0.0,Mann-Whitney U,0.0,0.0,5832.0,1.0000 nan,A = B (nan)
gemma3:12b-it-fp16,RE,Simple Effect: Critic @ RAF,54.0 / 5.0,54.0 / 4.9815,54.0 / 4.9815,54.0 / 5.0,-0.037,AVL benefits more from Critic,0.0185,"[-0.0186, 0.0557]",0.1925,Mann-Whitney U,-,0.0,1485.0,0.3264 nan,A > B (nan)
gemma3:12b-it-fp16,RE,Simple Effect: Critic @ AVL,54.0 / 5.0,54.0 / 4.9815,54.0 / 4.9815,54.0 / 5.0,-0.037,AVL benefits more from Critic,-0.0185,"[-0.0557, 0.0186]",-0.1925,Mann-Whitney U,0.0,-,1431.0,0.3264 nan,A < B (nan)
gemma3:12b-it-fp16,RE,Simple Effect: Curve @ No_Critic,54.0 / 5.0,54.0 / 4.9815,54.0 / 4.9815,54.0 / 5.0,-0.037,AVL benefits more from Critic,0.0185,"[-0.0186, 0.0557]",0.1925,Mann-Whitney U,-,0.0,1485.0,0.3264 nan,A > B (nan)
gemma3:12b-it-fp16,RE,Simple Effect: Curve @ With_Critic,54.0 / 5.0,54.0 / 4.9815,54.0 / 4.9815,54.0 / 5.0,-0.037,AVL benefits more from Critic,-0.0185,"[-0.0557, 0.0186]",-0.1925,Mann-Whitney U,0.0,-,1431.0,0.3264 nan,A < B (nan)
gemma3:12b-it-fp16,CH,Main Effect A (Curve: RAF vs AVL),54.0 / 4.963,54.0 / 4.9259,54.0 / 4.8704,54.0 / 4.8704,-0.0371,AVL benefits more from Critic,0.0741,"[-0.0035, 0.1516]",0.2565,Mann-Whitney U,0.0,0.0,6264.0,0.0613 nan,A > B (nan)
gemma3:12b-it-fp16,CH,Main Effect B (Critic: No vs With),54.0 / 4.963,54.0 / 4.9259,54.0 / 4.8704,54.0 / 4.8704,-0.0371,AVL benefits more from Critic,0.0185,"[-0.0596, 0.0966]",0.0636,Mann-Whitney U,0.0,0.0,5940.0,0.6411 nan,A > B (nan)
gemma3:12b-it-fp16,CH,Simple Effect: Critic @ RAF,54.0 / 4.963,54.0 / 4.9259,54.0 / 4.8704,54.0 / 4.8704,-0.0371,AVL benefits more from Critic,0.037,"[-0.0510, 0.1251]",0.1607,Mann-Whitney U,0.0,0.0,1512.0,0.4074 nan,A > B (nan)
gemma3:12b-it-fp16,CH,Simple Effect: Critic @ AVL,54.0 / 4.963,54.0 / 4.9259,54.0 / 4.8704,54.0 / 4.8704,-0.0371,AVL benefits more from Critic,0.0,"[-0.1294, 0.1294]",0.0,Mann-Whitney U,0.0,0.0,1458.0,1.0000 nan,A = B (nan)
