Theme,Genre,Novel,Curve_Type,Story_ID,Route_File,Num_Runs,Status,RE_Score,CH_Score,EM_Score,SU_Score,EG_Score,CX_Score,OV_Score,Run1_Explanation,Run2_Explanation,Run3_Explanation
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_1.txt,3,OK,5.0,5.0,5.0,2.0,5.0,4.0,4.3333,"The story strongly aligns with its theme of community resilience and environmental adaptation. The genre of a visual novel is well-suited to its focus on character-driven dialogue, emotional depth, and the gradual unfolding of collective efforts to address environmental challenges.","The story strongly aligns with its theme of community resilience and environmental adaptation. The genre of a visual novel is well-suited to its focus on character-driven dialogue, emotional depth, and the gradual unfolding of collective efforts to address environmental challenges.","The story strongly aligns with its theme of community resilience and environmental adaptation. The genre of a visual novel is well-suited to its focus on character-driven dialogue, emotional depth, and the gradual unfolding of collective efforts to address environmental challenges."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_2.txt,3,OK,5.0,5.0,5.0,2.0,5.0,4.0,4.3333,"The story strongly aligns with its theme of community resilience and shared responsibility, using a post-disaster rebuilding narrative to explore hope, accountability, and collective effort. The genre of a visual novel is well-suited to its emotional depth and character-driven focus.","The story strongly aligns with its theme of community resilience and shared responsibility, using a post-disaster rebuilding narrative to explore hope, accountability, and collective effort. The genre of a visual novel is well-suited to its emotional depth and character-driven focus.","The story strongly aligns with its theme of community resilience and shared responsibility, using a post-disaster rebuilding narrative to explore hope, accountability, and collective effort. The genre of a visual novel is well-suited to its emotional depth and character-driven focus."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_3.txt,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,"The story tightly aligns with its theme of community resilience and environmental stewardship, blending drama with social commentary. The genre of a visual novel is well-suited to its focus on character-driven decisions and collective action against natural challenges.","The story tightly aligns with its theme of community resilience and environmental stewardship, blending drama with social commentary. The genre of a visual novel is well-suited to its focus on character-driven decisions and collective action against natural challenges.","The story tightly aligns with its theme of community resilience and environmental stewardship, blending drama with social commentary. The genre of a visual novel is well-suited to its focus on character-driven decisions and collective action against natural challenges."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_4.txt,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,"The story aligns strongly with its themes of community resilience, environmental stewardship, and collective action. The genre (drama/social commentary) is reflected in the focus on rebuilding after a disaster, with practical solutions like seawalls and mangroves, and the emphasis on shared responsibility.","The story aligns strongly with its themes of community resilience, environmental stewardship, and collective action. The genre (drama/social commentary) is reflected in the focus on rebuilding after a disaster, with practical solutions like seawalls and mangroves, and the emphasis on shared responsibility.","The story aligns strongly with its themes of community resilience, environmental stewardship, and collective action. The genre (drama/social commentary) is reflected in the focus on rebuilding after a disaster, with practical solutions like seawalls and mangroves, and the emphasis on shared responsibility."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_5.txt,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,"The story tightly aligns with its theme of community resilience and repair, emphasizing durability, collaboration, and acceptance of help. The genre (drama/slice-of-life) matches the focus on interpersonal relationships and collective effort to maintain a town's infrastructure.","The story tightly aligns with its theme of community resilience and repair, emphasizing durability, collaboration, and acceptance of help. The genre (drama/slice-of-life) matches the focus on interpersonal relationships and collective effort to maintain a town's infrastructure.","The story tightly aligns with its theme of community resilience and repair, emphasizing durability, collaboration, and acceptance of help. The genre (drama/slice-of-life) matches the focus on interpersonal relationships and collective effort to maintain a town's infrastructure."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_6.txt,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,"The story strongly aligns with its themes of community resilience, shared ownership, and collective effort. The genre (drama/slice-of-life) is well-matched by the focus on interpersonal relationships and societal rebuilding, making the narrative deeply relevant to its core message.","The story strongly aligns with its themes of community resilience, shared ownership, and collective effort. The genre (drama/slice-of-life) is well-matched by the focus on interpersonal relationships and societal rebuilding, making the narrative deeply relevant to its core message.","The story strongly aligns with its themes of community resilience, shared ownership, and collective effort. The genre (drama/slice-of-life) is well-matched by the focus on interpersonal relationships and societal rebuilding, making the narrative deeply relevant to its core message."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_7.txt,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,"The story strongly aligns with its theme of community resilience and environmental stewardship, emphasizing collaboration, trade-offs, and long-term planning. The genre (drama/social commentary) is well-matched to the narrative focus on societal repair and human connection.","The story strongly aligns with its theme of community resilience and environmental stewardship, emphasizing collaboration, trade-offs, and long-term planning. The genre (drama/social commentary) is well-matched to the narrative focus on societal repair and human connection.","The story strongly aligns with its theme of community resilience and environmental stewardship, emphasizing collaboration, trade-offs, and long-term planning. The genre (drama/social commentary) is well-matched to the narrative focus on societal repair and human connection."
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,Route_8.txt,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,"The story tightly aligns with its theme of community resilience and shared labor, emphasizing collaboration, hybrid governance, and rebuilding after disaster. The genre (visual novel/drama) is well-matched to the emotional and relational focus of the narrative.","The story tightly aligns with its theme of community resilience and shared labor, emphasizing collaboration, hybrid governance, and rebuilding after disaster. The genre (visual novel/drama) is well-matched to the emotional and relational focus of the narrative.","The story tightly aligns with its theme of community resilience and shared labor, emphasizing collaboration, hybrid governance, and rebuilding after disaster. The genre (visual novel/drama) is well-matched to the emotional and relational focus of the narrative."
Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,Route_1.txt,3,OK,5.0,5.0,5.0,2.0,5.0,4.0,4.3333,"The story strongly aligns with its themes of community resilience, environmental adaptation, and collective effort. The genre of a visual novel is well-suited to its emotional depth and character-driven narrative, making it highly relevant.","The story strongly aligns with its themes of community resilience, environmental adaptation, and collective effort. The genre of a visual novel is well-suited to its emotional depth and character-driven narrative, making it highly relevant.","The story strongly aligns with its themes of community resilience, environmental adaptation, and collective effort. The genre of a visual novel is well-suited to its emotional depth and character-driven narrative, making it highly relevant."
Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,Route_2.txt,3,OK,5.0,5.0,5.0,3.0,5.0,4.0,4.5,"The story aligns strongly with its theme of environmental restoration and community collaboration. It emphasizes shared governance, accountability, and the balance between progress and local needs, making it highly relevant to its genre of social and ecological narratives.","The story aligns strongly with its theme of environmental restoration and community collaboration. It emphasizes shared governance, accountability, and the balance between progress and local needs, making it highly relevant to its genre of social and ecological narratives.","The story aligns strongly with its theme of environmental restoration and community collaboration. It emphasizes shared governance, accountability, and the balance between progress and local needs, making it highly relevant to its genre of social and ecological narratives."
